archive,path,temperature_c,pressure_bar,ramp,status,invalid_reason,support_distance,supported,fusion,score_60000,energy_score_60000,confirmed_60000,score_120000,energy_score_120000,confirmed_120000,score_180000,energy_score_180000,confirmed_180000,score_260000,energy_score_260000,confirmed_260000,score_300000,energy_score_300000,confirmed_300000
reversible,T43_Reversible_Damage/25-06-11_09-15-59_GW_RD_T43_100bar.h5,43,100,random,complete,,0.5741707320678618,True,no_alarm,0.23205892315932683,0.07635833323001862,False,0.5545231944748333,0.16069345814841135,True,0.6163409437452044,0.2418223981346403,False,0.714059367775917,0.20063300217900956,False,0.5762595151151929,0.2282448709011078,False
reversible,T43_Reversible_Damage/25-06-11_09-21-29_GW_RD_T43_650bar.h5,43,650,random,complete,,0.5297945091947343,True,no_alarm,0.19556432802762305,0.08977197323526655,False,0.39841627542461666,0.1779034627335412,False,0.4809124671987125,0.18773214306150163,False,0.5156264443482671,0.28742305082934244,False,0.5937200295073646,0.306813508272171,True
reversible,T43_Reversible_Damage/25-06-11_09-26-59_GW_RD_T43_700bar.h5,43,700,random,complete,,0.6223829223665146,True,no_alarm,0.1886932189975466,0.08986375800200871,False,0.3513261356524059,0.177127406001091,False,0.41434441826173235,0.16725858407361166,False,0.4907197750040463,0.2912768040384565,False,0.5719064176082611,0.3170647493430546,False
reversible,T43_Reversible_Damage/25-06-11_09-32-20_GW_RD_T43_300bar.h5,43,300,random,complete,,0.5240108735290361,True,no_alarm,0.242343896733863,0.0588930823973247,False,0.47080074570008684,0.13980621312345778,False,0.41335593270404,0.16518548130989075,False,0.46445653800453457,0.1582726878779275,False,0.497746225978647,0.1147478563444955,False
reversible,T43_Reversible_Damage/25-06-11_09-37-41_GW_RD_T43_150bar.h5,43,150,random,complete,,0.5123327503671721,True,no_alarm,0.217388248869351,0.09527720085212163,False,0.5179731707487788,0.19820073246955872,True,0.44170880743435453,0.20778557658195496,False,0.46092605910130907,0.2095463744231633,False,0.48169025778770447,0.2234691722052438,False
reversible,T43_Reversible_Damage/25-06-11_09-43-02_GW_RD_T43_350bar.h5,43,350,random,complete,,0.5551846946061701,True,no_alarm,0.24697164126804896,0.06756324853215899,False,0.4535117383514132,0.15018618319715774,False,0.4283995788012232,0.16589057658399856,False,0.4723144258771624,0.21041228302887507,False,0.5287195146083832,0.2311090784413474,False
reversible,T43_Reversible_Damage/25-06-11_09-48-50_GW_RD_T43_500bar.h5,43,500,random,complete,,0.5098880223684048,True,no_alarm,0.22470569131629808,0.07917366921901703,False,0.4672846570611,0.18581342484269822,False,0.5000883564352989,0.22709268970148905,False,0.5500169694423676,0.3082972126347678,False,0.6165414601564407,0.2843714100973947,True
reversible,T43_Reversible_Damage/25-06-11_09-54-44_GW_RD_T43_600bar.h5,43,600,random,complete,,0.5322880153709725,True,no_alarm,0.2091785648039409,0.07959593832492828,False,0.4177758651120322,0.179408032979284,False,0.42978126662118094,0.1999487429857254,False,0.5124580679195267,0.29255550674029757,False,0.5975451426846641,0.2893677460295813,True
reversible,T43_Reversible_Damage/25-06-11_10-02-11_GW_RD_T43_250bar.h5,43,250,random,complete,,0.5454380860973803,True,no_alarm,0.22008290088602475,0.0651046974318368,False,0.49698157821382793,0.14740765520504542,False,0.468915764774595,0.20471914538315364,False,0.49961649094309124,0.21942728119237082,False,0.5331143513321877,0.1816582211426326,False
reversible,T43_Reversible_Damage/25-06-11_10-07-41_GW_RD_T43_550bar.h5,43,550,random,complete,,0.5103735614930438,True,no_alarm,0.21300584343927248,0.07855786170278277,False,0.4538145682641438,0.18000799204621995,False,0.43731944475855145,0.20063365357262747,False,0.5116687470248767,0.2940715423652104,False,0.599831821663039,0.28522575965949465,True
